datetime,comparison,dataset_a,dataset_b,corr,corr_p
2022-06-14 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.45294327885919156,45.29432788591915
2022-06-15 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.15784761335798134,15.784761335798134
2022-06-16 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.34192242950415414,34.19224295041541
2022-06-17 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.5531801403671516,55.318014036715155
2022-06-18 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.33616378344085873,33.616378344085874
2022-06-19 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.44565826023151633,44.56582602315164
2022-06-20 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.2861193111332305,28.611931113323053
2022-06-21 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.4481187144032899,44.811871440328986
2022-06-22 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.697604635794726,69.7604635794726
2022-06-23 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.31511206925368956,31.511206925368956
2022-06-25 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.39408181270029213,39.40818127002921
2022-06-27 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.4801841243772207,48.01841243772207
2022-06-30 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.5656912162442649,56.56912162442649
2022-09-02 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.6280451252983287,62.80451252983287
2022-09-03 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.6008646497939825,60.086464979398244
2022-09-04 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.7269737164465305,72.69737164465305
2022-09-05 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.3902578036032179,39.02578036032179
2022-09-06 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.7472134105409441,74.72134105409441
2022-09-07 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.5875800653079452,58.75800653079452
2022-09-08 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.5797228357861894,57.97228357861894
2022-09-09 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.631096052027813,63.1096052027813
2022-09-10 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.6342864544264659,63.42864544264659
2022-09-11 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.6125785299113894,61.25785299113894
2022-09-12 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.7273880959915775,72.73880959915775
2022-09-13 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.4679458645434482,46.794586454344824
2022-09-15 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.25422369166095843,25.422369166095844
2022-09-17 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.6706027059213676,67.06027059213676
2022-09-18 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.5745998977973822,57.459989779738216
2022-09-19 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.6313697068868384,63.13697068868384
2022-09-21 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.6113692741488699,61.13692741488699
2022-09-22 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.5049838198724279,50.498381987242794
2022-09-23 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.383727190973185,38.372719097318495
2022-09-24 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.32837263879034734,32.83726387903474
2022-09-25 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.304580039561564,30.4580039561564
2022-09-26 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.05609399855373356,5.609399855373356
2022-09-27 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.047162361386223595,4.716236138622359
2022-09-28 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.3841046028723118,38.41046028723118
2022-09-29 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.10381883389826761,10.381883389826761
2022-09-30 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.5216164381990888,52.161643819908875
2024-03-01 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.041844595869474054,4.184459586947406
2024-03-02 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.501020553737966,50.102055373796595
2024-03-03 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.4532416993519152,45.32416993519152
2024-03-04 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.14517191579561067,14.517191579561068
2024-03-05 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.23639016216597086,-23.639016216597085
2024-03-06 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.24937963058294144,24.937963058294145
2024-03-07 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.3022654166179248,30.226541661792478
2024-03-08 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.5875823170803999,58.758231708039986
2024-03-09 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.4786981373462723,47.86981373462723
2024-03-10 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.5491226265815005,54.91226265815005
2024-03-11 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.30699252065589955,30.699252065589956
2024-03-12 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.4191507085326501,41.91507085326501
2024-03-13 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.08672789419175053,8.672789419175054
2024-03-14 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.602895406338366,60.2895406338366
2024-03-15 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.4931277113258206,49.312771132582064
2024-03-16 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.46854528670392287,46.854528670392284
2024-03-17 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.3319378454673055,33.19378454673055
2024-03-18 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.3794622329003553,37.94622329003553
2024-03-19 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.05234775482188038,5.234775482188038
2024-03-20 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.3705224323814447,37.05224323814447
2024-03-21 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.678147272112403,67.8147272112403
2024-03-26 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.4446758236777424,44.46758236777424
2024-03-27 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.5856388403702011,58.56388403702011
2024-03-28 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.4430330166816562,44.303301668165616
2024-03-29 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.6037348750967984,60.37348750967983
2024-03-31 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.465265273723966,46.5265273723966
2024-06-01 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.6057406835612248,60.57406835612248
2024-06-02 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.5486271318443673,54.86271318443673
2024-06-03 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.6540687509168884,65.40687509168885
2024-06-04 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.6219624274375326,62.19624274375326
2024-06-05 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.7367471325753489,73.67471325753489
2024-06-06 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.6977390621185764,69.77390621185764
2024-06-07 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.5395539433379292,53.95539433379292
2024-06-08 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.50492516122002,50.492516122001994
2024-06-09 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.4460979109837335,44.60979109837335
2024-06-10 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.6944337525053667,69.44337525053666
2024-06-11 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.673967632280274,67.3967632280274
2024-06-12 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.34897808375650224,34.89780837565022
2024-06-13 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.03173117672221753,3.173117672221753
2024-06-14 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.46596186679064483,46.59618667906448
2024-06-15 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.45998700195279063,45.99870019527906
2024-06-16 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.07521531989664085,7.521531989664084
2024-06-17 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.43634374940916354,43.63437494091635
2024-06-18 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.045121004125776874,-4.512100412577688
2024-06-19 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.4894182121718875,48.94182121718875
2024-06-21 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.6552634078144605,65.52634078144605
2024-06-22 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.1854816103278409,18.54816103278409
2024-06-23 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.4226384853190834,42.26384853190834
2024-06-24 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.24978412578783862,24.978412578783864
2024-06-25 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.5163582821334327,51.635828213343274
2024-06-28 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.5029920606279241,50.299206062792415
2024-06-29 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.20339195557521644,20.339195557521645
2024-09-03 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.05822623192315299,5.822623192315299
2024-09-04 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.6232016739564707,62.320167395647076
2024-09-05 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.43951074811245927,43.951074811245924
